Step        Dt          Time        Progress    
1           3.43226e-09 3.43226e-09 0%          
2           2.82608e-07 2.8604e-07  0%          
3           4.6429e-06  4.92894e-06 0%          
4           3.04761e-05 3.54051e-05 0%          
5           8.75697e-05 0.000122975 0%          
6           0.0001      0.000222975 0%          
7           0.0001      0.000322975 0%          
8           0.0001      0.000422975 0%          
9           0.0001      0.000522975 0%          
10          0.0001      0.000622975 0%          
11          0.0001      0.000722975 0%          
12          0.0001      0.000822975 0%          
13          0.0001      0.000922975 0%          
14          0.0001      0.00102297  1%          
15          0.0001      0.00112297  1%          
16          0.0001      0.00122297  1%          
17          0.0001      0.00132297  1%          
18          0.0001      0.00142297  1%          
19          0.0001      0.00152297  1%          
20          0.0001      0.00162297  1%          
21          0.0001      0.00172297  1%          
22          0.0001      0.00182297  1%          
23          0.0001      0.00192297  1%          
24          0.0001      0.00202297  2%          
25          0.0001      0.00212297  2%          
26          0.0001      0.00222297  2%          
27          0.0001      0.00232297  2%          
28          0.0001      0.00242297  2%          
29          0.0001      0.00252297  2%          
30          0.0001      0.00262297  2%          
31          0.0001      0.00272297  2%          
32          0.0001      0.00282297  2%          
33          0.0001      0.00292297  2%          
34          0.0001      0.00302297  3%          
35          0.0001      0.00312297  3%          
36          0.0001      0.00322297  3%          
37          0.0001      0.00332297  3%          
38          0.0001      0.00342297  3%          
39          0.0001      0.00352297  3%          
40          0.0001      0.00362297  3%          
41          0.0001      0.00372297  3%          
42          0.0001      0.00382297  3%          
43          0.0001      0.00392297  3%          
44          0.0001      0.00402297  4%          
45          0.0001      0.00412297  4%          
46          0.0001      0.00422297  4%          
47          0.0001      0.00432297  4%          
48          0.0001      0.00442297  4%          
49          0.0001      0.00452297  4%          
50          0.0001      0.00462297  4%          
51          0.0001      0.00472297  4%          
52          0.0001      0.00482297  4%          
53          0.0001      0.00492297  4%          
54          0.0001      0.00502297  5%          
55          9.19853e-05 0.00511496  5%          
56          0.0001      0.00521496  5%          
57          0.0001      0.00531496  5%          
58          0.0001      0.00541496  5%          
59          0.0001      0.00551496  5%          
60          0.0001      0.00561496  5%          
61          0.0001      0.00571496  5%          
62          0.0001      0.00581496  5%          
63          0.0001      0.00591496  5%          
64          0.0001      0.00601496  6%          
65          0.0001      0.00611496  6%          
66          0.0001      0.00621496  6%          
67          0.0001      0.00631496  6%          
68          0.0001      0.00641496  6%          
69          0.0001      0.00651496  6%          
70          0.0001      0.00661496  6%          
71          0.0001      0.00671496  6%          
72          0.0001      0.00681496  6%          
73          0.0001      0.00691496  6%          
74          0.0001      0.00701496  7%          
75          0.0001      0.00711496  7%          
76          0.0001      0.00721496  7%          
77          0.0001      0.00731496  7%          
78          0.0001      0.00741496  7%          
79          0.0001      0.00751496  7%          
80          0.0001      0.00761496  7%          
81          0.0001      0.00771496  7%          
82          0.0001      0.00781496  7%          
83          0.0001      0.00791496  7%          
84          0.0001      0.00801496  8%          
85          0.0001      0.00811496  8%          
86          0.0001      0.00821496  8%          
87          0.0001      0.00831496  8%          
88          0.0001      0.00841496  8%          
89          0.0001      0.00851496  8%          
90          0.0001      0.00861496  8%          
91          0.0001      0.00871496  8%          
92          0.0001      0.00881496  8%          
93          0.0001      0.00891496  8%          
94          0.0001      0.00901496  9%          
95          0.0001      0.00911496  9%          
96          0.0001      0.00921496  9%          
97          0.0001      0.00931496  9%          
98          0.0001      0.00941496  9%          
99          0.0001      0.00951496  9%          
