Step        Dt          Time        Progress    
1           1.36928e-06 1.36928e-06 0%          
2           1.34381e-05 1.48074e-05 0%          
3           1.0281e-05  2.50885e-05 0%          
4           2.81909e-05 5.32794e-05 0%          
5           2.39223e-05 7.72017e-05 0%          
6           2.30062e-05 0.000100208 0%          
7           2.30062e-05 0.000123214 0%          
8           2.30062e-05 0.00014622  0%          
9           2.30062e-05 0.000169226 0%          
10          2.27361e-05 0.000191963 0%          
11          2.27361e-05 0.000214699 0%          
12          1.64231e-05 0.000231122 0%          
13          1.64231e-05 0.000247545 0%          
14          1.64231e-05 0.000263968 0%          
15          1.97751e-05 0.000283743 0%          
16          1.73239e-05 0.000301067 0%          
17          1.73239e-05 0.000318391 0%          
18          1.73239e-05 0.000335715 0%          
19          2.93288e-05 0.000365044 0%          
20          2.93288e-05 0.000394372 0%          
21          4.90213e-05 0.000443394 0%          
22          1.23058e-05 0.000455699 0%          
23          1.23058e-05 0.000468005 0%          
24          2.05149e-05 0.00048852  0%          
25          2.05149e-05 0.000509035 1%          
26          4.02571e-05 0.000549292 1%          
27          4.02571e-05 0.000589549 1%          
28          4.02571e-05 0.000629806 1%          
29          2.40971e-06 0.000632216 1%          
30          2.40971e-06 0.000634626 1%          
31          4.20324e-06 0.000638829 1%          
32          4.20324e-06 0.000643032 1%          
33          9.02321e-06 0.000652055 1%          
34          1.39944e-05 0.00066605  1%          
35          3.00129e-05 0.000696063 1%          
36          3.00129e-05 0.000726075 1%          
37          3.95246e-05 0.0007656   1%          
38          3.38015e-05 0.000799402 1%          
39          5.89811e-05 0.000858383 1%          
40          1.07414e-05 0.000869124 1%          
41          1.07414e-05 0.000879866 1%          
42          1.72396e-05 0.000897105 1%          
43          1.72396e-05 0.000914345 1%          
44          3.60238e-05 0.000950369 1%          
45          3.60238e-05 0.000986393 1%          
46          5.89285e-05 0.00104532  2%          
47          1.04239e-05 0.00105574  2%          
48          1.04239e-05 0.00106617  2%          
49          2.97274e-05 0.0010959   2%          
50          2.97274e-05 0.00112562  2%          
51          6.07213e-05 0.00118634  2%          
52          6.07213e-05 0.00124707  2%          
53          6.07213e-05 0.00130779  2%          
54          5.93226e-05 0.00136711  2%          
