Step        Dt          Time        Progress    
1           4.86746e-06 4.86746e-06 0%          
2           3.84366e-05 4.3304e-05  0%          
3           3.20012e-05 7.53052e-05 0%          
4           4.95659e-05 0.000124871 0%          
5           4.76536e-05 0.000172525 0%          
6           4.76536e-05 0.000220178 0%          
7           4.76536e-05 0.000267832 0%          
8           4.76536e-05 0.000315485 0%          
9           4.21618e-05 0.000357647 0%          
10          4.21618e-05 0.000399809 0%          
11          4.21618e-05 0.000441971 0%          
12          4.21618e-05 0.000484133 0%          
13          6.57357e-05 0.000549868 0%          
14          6.57357e-05 0.000615604 0%          
15          0.000103442 0.000719046 0%          
16          0.000103442 0.000822487 0%          
17          0.000103442 0.000925929 0%          
18          0.000103442 0.00102937  0%          
19          2.22246e-05 0.00105159  0%          
20          2.22246e-05 0.00107382  0%          
21          3.78817e-05 0.0011117   0%          
22          3.37342e-05 0.00114544  0%          
23          3.37342e-05 0.00117917  0%          
24          3.37342e-05 0.0012129   0%          
25          5.15499e-05 0.00126445  0%          
26          5.15499e-05 0.001316    0%          
27          8.18596e-05 0.00139786  0%          
28          8.18596e-05 0.00147972  0%          
29          0.000126014 0.00160574  0%          
30          2.46338e-05 0.00163037  0%          
31          2.46338e-05 0.001655    0%          
32          4.23118e-05 0.00169732  0%          
33          4.23118e-05 0.00173963  0%          
34          6.88863e-05 0.00180851  0%          
35          6.88863e-05 0.0018774   0%          
36          0.000103398 0.0019808   0%          
37          0.000103398 0.0020842   0%          
38          0.000157129 0.00224133  0%          
39          0.000157129 0.00239846  0%          
40          3.25734e-05 0.00243103  0%          
41          3.25734e-05 0.0024636   0%          
42          5.31832e-05 0.00251679  0%          
43          5.31832e-05 0.00256997  0%          
44          8.3297e-05  0.00265327  0%          
45          8.3297e-05  0.00273656  0%          
46          7.62283e-05 0.00281279  0%          
47          6.16184e-05 0.00287441  0%          
48          6.16184e-05 0.00293603  0%          
49          6.16184e-05 0.00299765  0%          
50          6.76429e-05 0.00306529  0%          
51          5.93203e-05 0.00312461  0%          
52          5.93203e-05 0.00318393  0%          
53          5.93203e-05 0.00324325  0%          
54          9.60496e-05 0.0033393   0%          
55          7.0995e-05  0.00341029  0%          
56          6.27395e-05 0.00347303  0%          
57          6.27395e-05 0.00353577  0%          
58          6.27395e-05 0.00359851  0%          
59          9.79188e-05 0.00369643  0%          
60          9.79188e-05 0.00379435  0%          
61          0.000161352 0.0039557   0%          
62          0.000161352 0.00411706  0%          
63          0.000249992 0.00436705  0%          
64          0.000224008 0.00459106  0%          
65          0.000224008 0.00481506  0%          
66          0.000224008 0.00503907  1%          
67          0.000224008 0.00526308  1%          
68          0.000224008 0.00548709  1%          
69          0.000224008 0.0057111   1%          
70          0.000224008 0.0059351   1%          
71          0.000356342 0.00629145  1%          
72          0.000356342 0.00664779  1%          
73          0.000356342 0.00700413  1%          
74          0.000356342 0.00736047  1%          
75          0.000356342 0.00771681  1%          
76          0.000356342 0.00807315  1%          
77          0.000356342 0.00842949  1%          
78          0.000303455 0.00873295  1%          
79          0.000303455 0.0090364   1%          
80          0.000303455 0.00933986  1%          
81          0.000303455 0.00964331  1%          
82          0.000303455 0.00994677  1%          
83          0.000303455 0.0102502   2%          
84          0.000303455 0.0105537   2%          
85          0.000224954 0.0107786   2%          
86          0.000199394 0.010978    2%          
87          0.000199394 0.0111774   2%          
88          0.000199394 0.0113768   2%          
89          0.000199394 0.0115762   2%          
90          0.000199394 0.0117756   2%          
91          0.000310258 0.0120859   2%          
92          0.000309365 0.0123952   2%          
93          0.000309365 0.0127046   2%          
94          0.000265859 0.0129705   2%          
95          0.000265859 0.0132363   2%          
96          0.000163189 0.0133995   2%          
97          0.000143039 0.0135425   2%          
98          0.000261346 0.0138039   2%          
99          0.000261346 0.0140652   2%          
100         0.000261346 0.0143266   2%          
101         0.000261346 0.0145879   2%          
102         0.000261346 0.0148493   2%          
103         0.000200943 0.0150502   3%          
104         0.000172599 0.0152228   3%          
105         0.000295363 0.0155182   3%          
106         0.000295363 0.0158135   3%          
107         0.000181996 0.0159955   3%          
108         0.000155184 0.0161507   3%          
109         0.000267556 0.0164183   3%          
110         0.000259335 0.0166776   3%          
111         0.000259335 0.0169369   3%          
112         0.000259335 0.0171963   3%          
113         0.00015075  0.017347    3%          
114         0.000133264 0.0174803   3%          
115         0.000133264 0.0176136   3%          
116         0.000133264 0.0177468   3%          
117         0.000133264 0.0178801   3%          
118         0.000133264 0.0180133   3%          
119         0.000133264 0.0181466   3%          
120         0.000133264 0.0182799   3%          
121         0.000133264 0.0184131   3%          
122         0.000223109 0.0186362   3%          
123         0.000215742 0.018852    3%          
124         0.000215742 0.0190677   3%          
125         0.000215742 0.0192835   3%          
126         0.000215742 0.0194992   3%          
127         0.000215742 0.019715    3%          
128         0.000215742 0.0199307   3%          
129         0.000215742 0.0201464   4%          
130         0.000146844 0.0202933   4%          
