Step        Dt          Time        Progress    
1           7.84963e-06 7.84963e-06 0%          
2           5.0057e-05  5.79067e-05 0%          
3           4.44474e-05 0.000102354 0%          
4           4.44474e-05 0.000146801 0%          
5           4.44474e-05 0.000191249 0%          
6           4.44474e-05 0.000235696 0%          
7           4.44474e-05 0.000280144 0%          
8           4.44474e-05 0.000324591 0%          
9           6.87369e-05 0.000393328 0%          
10          6.87369e-05 0.000462065 0%          
11          0.000106162 0.000568226 0%          
12          0.000106162 0.000674388 0%          
13          9.88078e-05 0.000773196 0%          
14          9.88078e-05 0.000872004 0%          
15          8.73701e-05 0.000959374 0%          
16          8.73701e-05 0.00104674  0%          
17          6.32644e-05 0.00111001  0%          
18          5.53646e-05 0.00116537  0%          
19          5.53646e-05 0.00122074  0%          
20          5.53646e-05 0.0012761   0%          
21          8.63104e-05 0.00136241  0%          
22          8.63104e-05 0.00144872  0%          
23          0.00013789  0.00158661  0%          
24          0.00013789  0.0017245   0%          
25          0.000217206 0.00194171  0%          
26          0.000217206 0.00215891  0%          
27          0.000217206 0.00237612  0%          
28          3.35063e-05 0.00240963  0%          
29          3.35063e-05 0.00244313  0%          
30          3.35063e-05 0.00247664  0%          
31          6.26941e-05 0.00253933  0%          
32          4.55075e-05 0.00258484  0%          
33          4.55075e-05 0.00263035  0%          
34          7.00923e-05 0.00270044  0%          
35          7.00923e-05 0.00277053  0%          
36          0.000116331 0.00288686  0%          
37          0.000116331 0.00300319  0%          
38          0.000202285 0.00320548  0%          
39          3.688e-05   0.00324236  0%          
40          3.688e-05   0.00327924  0%          
41          6.36023e-05 0.00334284  0%          
42          6.36023e-05 0.00340644  0%          
43          0.000109419 0.00351586  0%          
44          0.000109419 0.00362528  0%          
45          3.2009e-05  0.00365729  0%          
46          3.2009e-05  0.0036893   0%          
47          5.83001e-05 0.0037476   0%          
48          5.83001e-05 0.0038059   0%          
49          0.000101656 0.00390756  0%          
50          7.8273e-05  0.00398583  0%          
51          0.000130062 0.00411589  0%          
52          0.000130062 0.00424595  0%          
53          0.000219141 0.00446509  0%          
54          0.000219141 0.00468423  0%          
55          0.000383213 0.00506745  0%          
56          5.88363e-05 0.00512628  0%          
57          5.88363e-05 0.00518512  0%          
58          9.49987e-05 0.00528012  0%          
59          9.49987e-05 0.00537512  0%          
60          0.000156853 0.00553197  0%          
61          0.000156853 0.00568882  0%          
62          0.000277486 0.00596631  0%          
63          5.0102e-05  0.00601641  0%          
64          5.0102e-05  0.00606651  0%          
65          8.48174e-05 0.00615133  0%          
66          8.48174e-05 0.00623615  0%          
67          0.000154855 0.00639101  0%          
68          0.000154855 0.00654586  0%          
69          0.000304412 0.00685027  0%          
70          0.000227793 0.00707807  0%          
71          0.00045731  0.00753538  0%          
72          0.00045731  0.00799269  0%          
73          0.000872343 0.00886503  0%          
74          0.000872343 0.00973737  0%          
75          0.0014402   0.0111776   0%          
76          0.0014402   0.0126178   0%          
77          0.0014402   0.014058    0%          
78          0.0014402   0.0154982   0%          
79          0.0014402   0.0169384   0%          
80          0.0014402   0.0183786   0%          
81          0.0014402   0.0198188   0%          
82          0.000301848 0.0201206   1%          
83          0.000301848 0.0204225   1%          
