"Time","avg(Y)","std(Y)"
0,0.025287,0.0031319
0.002217,0.12734,0.0011923
0.00443,0.17739,0.0010291
0.006195,0.20817,0.00067126
0.0087142,0.2463,0.0010419
0.011402,0.28111,0.0012499
0.013666,0.30703,0.0011038
0.015606,0.32793,0.0012868
0.018793,0.35916,0.0012108
0.02128,0.38206,0.0014459
0.024835,0.41211,0.0013127
0.02674,0.42756,0.0014517
0.02905,0.44547,0.0016716
0.031164,0.46114,0.0015646
0.033666,0.47905,0.0015808
0.036004,0.4953,0.0018525
0.038205,0.51004,0.0017838
0.040086,0.52223,0.0017094
