"Time","avg(Y)","std(Y)"
0,0.050648,0.0063239
0.00064262,0.082686,0.0023928
0.0016479,0.12216,0.0034937
0.0026382,0.14627,0.0031453
0.0037155,0.16903,0.0015436
0.0043024,0.18072,0.00098086
0.0048349,0.19094,0.001079
0.0053786,0.20066,0.0012223
0.0061976,0.21463,0.0017332
0.0070908,0.22926,0.0026185
0.0079323,0.24145,0.0027569
0.0085806,0.25026,0.0025055
0.0092539,0.25905,0.0021072
0.010254,0.27154,0.001635
0.010964,0.28032,0.0014058
0.011961,0.29207,0.001351
0.012802,0.30163,0.0012844
0.013605,0.31058,0.0012613
0.014415,0.31956,0.0015444
0.015207,0.3283,0.0019409
0.016065,0.3374,0.0022342
0.017144,0.34829,0.0022342
0.018156,0.35793,0.0021273
0.019077,0.3664,0.0020796
0.019809,0.3731,0.0019829
0.020079,0.3755,0.0019693
